n,pid,batch,date,cat,categoria
36,baeee0e4c0,dreams_2015,2015-12-26,1,onirico
37,96f622409e,dreams_recent,2026-09-17,1,onirico
38,c62e5d4e2d,dreams_2015,2015-12-27,7,meta_discussao
39,48d51ce35f,desabafos_sonhei,2026-08-27,3,pesadelo_angustia
40,4d7f4e0f5c,dreams_2015,2015-12-27,1,onirico
41,c1fff71f3e,dreams_recent,2026-09-17,7,meta_discussao
42,958e0dc45a,desabafos_meusonho,2026-09-16,2,desejo
43,e82f4048f0,r_sonhos,2018-02-04,5,ruido_comercial_spam
44,7fad233456,desabafos_meusonho,2026-09-07,2,desejo
45,4620e728b7,r_sonhos,2018-05-12,5,ruido_comercial_spam
46,4b174ba115,r_sonhos,2018-02-18,5,ruido_comercial_spam
47,723e3d8bd0,dreams_2015,2015-12-26,1,onirico
48,5d6ac323e7,r_sonhos,2018-06-09,5,ruido_comercial_spam
49,8617537adc,dreams_recent,2026-09-17,1,onirico
50,8aa727cdb0,dreams_2015,2015-12-30,3,pesadelo_angustia
51,01fa247159,dreams_recent,2026-09-17,3,pesadelo_angustia
52,5eef216858,desabafos_sonhei,2026-09-01,3,pesadelo_angustia
53,444737843e,dreams_2015,2015-12-28,1,onirico
54,82a0b1fd21,dreams_recent,2026-09-17,3,pesadelo_angustia
55,2380948113,desabafos_meusonho,2026-09-03,2,desejo
56,44a3df58b6,desabafos_meusonho,2026-09-05,3,pesadelo_angustia
57,1601266897,dreams_2015,2015-12-26,1,onirico
58,68757f9c37,dreams_2015,2015-12-29,1,onirico
59,fd5f9637a4,dreams_recent,2026-09-17,1,onirico
60,3e4bbf8f57,dreams_recent,2026-09-17,1,onirico
61,91621596d2,desabafos_sonhei,2026-07-04,3,pesadelo_angustia
62,0b698d0174,dreams_recent,2026-09-17,7,meta_discussao
63,2ff3c12c20,dreams_2015,2015-12-28,1,onirico
64,7e676f1510,desabafos_meusonho,2026-09-14,4,idiomatico_vazio
65,21f5f04a43,dreams_2015,2015-12-30,1,onirico
66,84f5b6d3d0,r_sonhos,2018-09-07,5,ruido_comercial_spam
67,8bf6ff6bbf,desabafos_meusonho,2026-09-14,6,indecidivel
68,1e54b3be42,lucid,2026-09-16,7,meta_discussao
69,3a5ee99a27,r_sonhos,2018-03-02,5,ruido_comercial_spam
70,21da7aef89,dreams_2015,2015-12-30,1,onirico
71,74fb754819,r_sonhos,2018-02-06,5,ruido_comercial_spam
72,0522826700,desabafos_sonhei,2026-07-29,3,pesadelo_angustia
73,4a80158766,dreams_recent,2026-09-17,1,onirico
74,e9793fd6d7,dreams_recent,2026-09-17,7,meta_discussao
75,c23f6c95e2,dreams_recent,2026-09-17,3,pesadelo_angustia
76,4333322bd0,dreams_2015,2015-12-30,2,desejo
77,8c286292d5,dreams_recent,2026-09-17,1,onirico
78,32281e50fe,dreams_recent,2026-09-17,1,onirico
79,98c150271b,dreams_recent,2026-09-17,1,onirico
80,ea0f6b6373,dreams_2015,2015-12-27,1,onirico
81,7dc2f6b808,desabafos_sonhei,2026-07-07,3,pesadelo_angustia
82,0f18c68598,dreams_recent,2026-09-17,3,pesadelo_angustia
83,7d41d36bf5,dreams_2015,2015-12-29,1,onirico
84,5c496cdb6c,dreams_2015,2015-12-30,7,meta_discussao
85,92f228a41e,lucid,2026-09-16,1,onirico
86,9a13030782,desabafos_sonhei,2026-08-03,2,desejo
87,62b61aa9c6,dreams_recent,2026-09-17,1,onirico
88,5bdc2da309,dreams_2015,2015-12-27,3,pesadelo_angustia
89,aba8dd1bd5,dreams_2015,2015-12-28,1,onirico
90,413b20845a,desabafos_sonhei,2026-06-25,1,onirico
91,fe9a98fa46,desabafos_meusonho,2026-09-07,4,idiomatico_vazio
92,378bb1e9ed,desabafos_sonhei,2026-07-02,4,idiomatico_vazio
93,25e90f917d,dreams_recent,2026-09-17,4,idiomatico_vazio
94,1f824fc4f7,dreams_2015,2015-12-30,3,pesadelo_angustia
95,e5dbf5d38b,desabafos_sonhei,2026-07-07,2,desejo
96,498d371d1d,r_sonhos,2018-04-06,5,ruido_comercial_spam
97,a3479c7d8a,lucid,2026-09-17,7,meta_discussao
98,3299969dd6,lucid,2026-09-16,1,onirico
99,4d9ae1a900,dreams_recent,2026-09-17,7,meta_discussao
100,1b140cb731,dreams_2015,2015-12-28,1,onirico
101,5bfaff1ab1,r_sonhos,2018-04-24,5,ruido_comercial_spam
102,997b89c35b,r_sonhos,2018-05-12,5,ruido_comercial_spam
103,7ca4ab37ff,r_sonhos,2018-05-12,5,ruido_comercial_spam
104,29ce0811aa,lucid,2026-09-17,1,onirico
105,0b084058c6,dreams_2015,2015-12-27,1,onirico
106,52e9c30a0e,desabafos_sonhei,2026-07-11,3,pesadelo_angustia
107,cc892eaa3a,dreams_recent,2026-09-17,1,onirico
108,f5c999c365,desabafos_sonhei,2026-06-25,1,onirico
109,b1f6e56898,r_sonhos,2017-12-10,7,meta_discussao
110,620897d8c6,dreams_recent,2026-09-17,1,onirico
111,fe2df0e4ff,dreams_2015,2015-12-30,1,onirico
112,6179ad5a38,r_sonhos,2018-04-24,5,ruido_comercial_spam
113,28b5ce369e,desabafos_sonhei,2026-09-02,3,pesadelo_angustia
114,939b996a67,dreams_2015,2015-12-27,1,onirico
115,775da7cc39,desabafos_sonhei,2026-07-28,3,pesadelo_angustia
116,c57c634cf0,r_sonhos,2018-08-04,5,ruido_comercial_spam
117,a636feb435,dreams_recent,2026-09-17,3,pesadelo_angustia
118,12530c5f53,dreams_2015,2015-12-30,1,onirico
119,cca5be26ae,dreams_2015,2015-12-28,1,onirico
120,e27565b0b8,desabafos_sonhei,2026-07-03,3,pesadelo_angustia
121,ec1b4522ee,r_sonhos,2018-02-18,5,ruido_comercial_spam
122,3f60d3b645,r_sonhos,2018-10-10,5,ruido_comercial_spam
123,92c2535622,lucid,2026-09-16,1,onirico
124,6e02e1dbf8,r_sonhos,2018-04-06,5,ruido_comercial_spam
125,cca8a7d322,lucid,2026-09-15,1,onirico
126,203d08270f,desabafos_sonhei,2026-07-10,1,onirico
127,70b558335d,lucid,2026-09-17,1,onirico
128,4263aac0c4,lucid,2026-09-17,7,meta_discussao
129,5dbb649cfd,desabafos_meusonho,2026-09-06,3,pesadelo_angustia
130,a8b8eb2436,dreams_2015,2015-12-30,1,onirico
131,23a9c1744d,lucid,2026-09-15,1,onirico
132,d5a1e8b44f,dreams_recent,2026-09-17,1,onirico
133,2b3eed907b,desabafos_meusonho,2026-09-05,2,desejo
134,7ccf17b537,lucid,2026-09-16,1,onirico
135,11d45304aa,dreams_2015,2015-12-29,1,onirico
136,05e9faad2c,desabafos_sonhei,2026-08-14,4,idiomatico_vazio
137,d63b30eadf,desabafos_meusonho,2026-09-09,2,desejo
138,88ed50dd74,dreams_2015,2015-12-30,3,pesadelo_angustia
139,b99506f281,desabafos_sonhei,2026-07-27,3,pesadelo_angustia
140,e914849ecd,desabafos_sonhei,2026-08-02,4,idiomatico_vazio
141,f80b0bd231,r_sonhos,2018-02-06,5,ruido_comercial_spam
142,015f42c609,dreams_2015,2015-12-26,1,onirico
143,75ae3fbea7,dreams_2015,2015-12-26,1,onirico
144,fd677bfc93,desabafos_meusonho,2026-09-09,2,desejo
145,ec5bd7cf86,desabafos_meusonho,2026-09-11,3,pesadelo_angustia
146,a523222b90,desabafos_sonhei,2026-08-09,2,desejo
147,50ba8d94f6,lucid,2026-09-15,7,meta_discussao
148,2d6a23abba,dreams_recent,2026-09-17,1,onirico
149,6ddfe0a1c1,desabafos_meusonho,2026-09-08,2,desejo
150,de9851233a,dreams_recent,2026-09-17,3,pesadelo_angustia
151,5d1508bafa,desabafos_meusonho,2026-09-11,2,desejo
152,64217b7b1e,dreams_recent,2026-09-17,1,onirico
153,a055dc5831,dreams_recent,2026-09-17,3,pesadelo_angustia
154,093a4323c9,dreams_2015,2015-12-28,4,idiomatico_vazio
155,c2626713df,lucid,2026-09-17,7,meta_discussao
156,19cda7e055,dreams_2015,2015-12-29,3,pesadelo_angustia
157,8205ad95ab,dreams_2015,2015-12-30,1,onirico
158,2bda6a8949,desabafos_sonhei,2026-07-03,3,pesadelo_angustia
159,aaad92d112,desabafos_sonhei,2026-07-18,2,desejo
160,6e32667de2,desabafos_sonhei,2026-07-21,1,onirico
161,73bf0c5768,r_sonhos,2017-12-14,5,ruido_comercial_spam
162,2ed66a1212,dreams_recent,2026-09-17,1,onirico
163,c725911d32,r_sonhos,2017-12-10,7,meta_discussao
164,07384a3ceb,dreams_recent,2026-09-17,1,onirico
165,54dbea98b7,desabafos_meusonho,2026-09-02,2,desejo
166,9a31fe8826,dreams_recent,2026-09-17,1,onirico
167,a85312b56e,dreams_recent,2026-09-17,1,onirico
168,eac16df99e,desabafos_meusonho,2026-09-01,3,pesadelo_angustia
169,a070214fa6,r_sonhos,2017-12-31,5,ruido_comercial_spam
170,37d7d5a3af,r_sonhos,2018-08-28,5,ruido_comercial_spam
171,2dfc85b075,desabafos_sonhei,2026-08-21,3,pesadelo_angustia
172,985150652d,dreams_recent,2026-09-17,1,onirico
173,2d6ea75de9,desabafos_sonhei,2026-08-18,2,desejo
174,ca377481c6,dreams_recent,2026-09-17,1,onirico
175,a1fc46f7ca,desabafos_sonhei,2026-07-20,3,pesadelo_angustia
176,170b09ac3f,desabafos_meusonho,2026-09-17,3,pesadelo_angustia
177,c297591d07,r_sonhos,2018-02-04,5,ruido_comercial_spam
178,288f7c2d18,lucid,2026-09-17,7,meta_discussao
179,6e38336d03,lucid,2026-09-17,1,onirico
180,e189d96a02,desabafos_sonhei,2026-09-14,3,pesadelo_angustia
181,d13e97ed08,desabafos_meusonho,2026-09-14,3,pesadelo_angustia
182,0ef0e53b94,desabafos_meusonho,2026-09-16,2,desejo
183,8b86efea81,desabafos_sonhei,2026-08-21,1,onirico
184,3ac95e5e81,r_sonhos,2018-05-12,5,ruido_comercial_spam
185,7a05a986ec,desabafos_sonhei,2026-07-28,2,desejo
186,101b0b16aa,dreams_2015,2015-12-28,5,ruido_comercial_spam
187,d2e2f3d758,dreams_2015,2015-12-27,1,onirico
188,a0e602ead9,dreams_recent,2026-09-17,7,meta_discussao
189,8489ca0fec,r_sonhos,2018-08-04,5,ruido_comercial_spam
190,63da554f5d,dreams_recent,2026-09-17,1,onirico
191,fe9220d406,desabafos_sonhei,2026-09-15,2,desejo
192,73ce195a07,dreams_recent,2026-09-17,1,onirico
193,623919acc2,dreams_recent,2026-09-17,1,onirico
194,1ccac1878e,r_sonhos,2018-02-05,5,ruido_comercial_spam
195,6d75db9e59,dreams_recent,2026-09-17,1,onirico
196,6f4b5b07ef,r_sonhos,2018-01-09,5,ruido_comercial_spam
197,de29ee1c11,desabafos_meusonho,2026-09-16,3,pesadelo_angustia
198,155a34dbc9,desabafos_sonhei,2026-09-03,1,onirico
199,6cd68bdf5e,dreams_recent,2026-09-17,7,meta_discussao
200,a349ba5a05,lucid,2026-09-15,1,onirico
201,5ce45eef83,dreams_recent,2026-09-17,1,onirico
202,a48e0a7e9c,lucid,2026-09-16,7,meta_discussao
203,486d745ecd,dreams_recent,2026-09-17,1,onirico
204,41fd9dc086,dreams_recent,2026-09-17,3,pesadelo_angustia
205,36cc952d51,r_sonhos,2017-12-29,5,ruido_comercial_spam
206,ca1609d668,lucid,2026-09-17,7,meta_discussao
207,a40ad08efe,dreams_2015,2015-12-27,1,onirico
208,9b9648e3a4,desabafos_meusonho,2026-09-01,3,pesadelo_angustia
209,cdcc03bdf8,desabafos_sonhei,2026-07-17,3,pesadelo_angustia
210,b6a1494ded,dreams_recent,2026-09-17,1,onirico
211,13533fc278,lucid,2026-09-16,1,onirico
212,6f4b59679c,r_sonhos,2018-04-11,5,ruido_comercial_spam
213,ac0af83da0,dreams_recent,2026-09-17,3,pesadelo_angustia
214,970e7aca01,dreams_2015,2015-12-30,3,pesadelo_angustia
215,4afe44787f,desabafos_meusonho,2026-09-10,2,desejo
216,f226030c70,dreams_2015,2015-12-28,5,ruido_comercial_spam
217,fe6cd7d942,desabafos_sonhei,2026-07-01,1,onirico
218,99ce29f25c,r_sonhos,2017-12-10,5,ruido_comercial_spam
219,6abf18ef37,r_sonhos,2018-04-24,5,ruido_comercial_spam
220,a574db57c2,dreams_recent,2026-09-17,1,onirico
221,f9831ccb43,desabafos_sonhei,2026-08-04,3,pesadelo_angustia
222,6cf348ef08,dreams_2015,2015-12-29,3,pesadelo_angustia
223,982de59ded,dreams_2015,2015-12-28,1,onirico
224,c1826b983a,dreams_2015,2015-12-27,3,pesadelo_angustia
225,d43778f9d7,desabafos_sonhei,2026-07-27,3,pesadelo_angustia
226,2b0c36c3c6,dreams_2015,2015-12-27,1,onirico
227,b1713230bf,desabafos_sonhei,2026-07-25,2,desejo
228,465e2524e0,dreams_2015,2015-12-29,1,onirico
229,b84920c3c0,dreams_2015,2015-12-29,5,ruido_comercial_spam
230,99a9693c39,lucid,2026-09-15,7,meta_discussao
231,71f86f4e2e,desabafos_sonhei,2026-07-21,3,pesadelo_angustia
232,28425373bc,desabafos_sonhei,2026-07-21,3,pesadelo_angustia
233,6da8ae3752,dreams_recent,2026-09-17,1,onirico
234,b1e83cfb4a,dreams_2015,2015-12-29,3,pesadelo_angustia
235,48eb7a7145,dreams_recent,2026-09-17,1,onirico
236,6938b2b4b6,desabafos_sonhei,2026-07-31,2,desejo
237,35b795a8e9,desabafos_sonhei,2026-06-30,2,desejo
238,fc3fad01d5,dreams_recent,2026-09-17,1,onirico
239,7ad2f53a9a,lucid,2026-09-15,7,meta_discussao
240,6e80bf3a61,r_sonhos,2018-05-27,5,ruido_comercial_spam
241,4302c0cbe3,desabafos_sonhei,2026-07-31,6,indecidivel
242,4ea3a83b18,lucid,2026-09-17,1,onirico
243,c86909e849,dreams_recent,2026-09-17,1,onirico
244,a1a140aeb7,desabafos_sonhei,2026-08-17,3,pesadelo_angustia
245,e32e1852f5,lucid,2026-09-15,7,meta_discussao
246,0ca47933bf,desabafos_sonhei,2026-08-15,1,onirico
247,b996b03b97,lucid,2026-09-16,7,meta_discussao
248,e8f412d11f,desabafos_sonhei,2026-08-02,3,pesadelo_angustia
249,3a0c0ad339,r_sonhos,2018-03-02,5,ruido_comercial_spam
250,efbfe572b3,dreams_2015,2015-12-28,3,pesadelo_angustia
251,4292244439,r_sonhos,2018-02-18,5,ruido_comercial_spam
252,b640775e21,desabafos_meusonho,2026-09-15,3,pesadelo_angustia
253,c604a7ae7d,desabafos_sonhei,2026-08-05,2,desejo
254,53a24f431e,desabafos_sonhei,2026-07-03,1,onirico
255,21629ba60a,desabafos_sonhei,2026-09-05,1,onirico
256,4962e47ce1,r_sonhos,2018-01-18,5,ruido_comercial_spam
257,1a7c1c7e9b,desabafos_sonhei,2026-09-15,3,pesadelo_angustia
258,160680dd38,lucid,2026-09-17,7,meta_discussao
259,4fef6fef82,lucid,2026-09-16,1,onirico
260,a3c4476088,desabafos_meusonho,2026-09-04,3,pesadelo_angustia
261,2a18b1108f,dreams_recent,2026-09-17,7,meta_discussao
262,bebf4fc3c1,r_sonhos,2018-04-04,5,ruido_comercial_spam
263,51c5151d05,dreams_recent,2026-09-17,1,onirico
264,ede566359f,r_sonhos,2018-08-14,5,ruido_comercial_spam
265,bfa044bbac,lucid,2026-09-16,1,onirico
266,8f87e51ca0,dreams_2015,2015-12-29,5,ruido_comercial_spam
267,a1b437f1d1,r_sonhos,2018-04-06,5,ruido_comercial_spam
268,1cf3bb8d0a,desabafos_meusonho,2026-09-17,3,pesadelo_angustia
269,c8d7a4ebb6,dreams_recent,2026-09-17,1,onirico
270,720771dbf0,dreams_recent,2026-09-17,3,pesadelo_angustia
271,1e2504b7f3,desabafos_sonhei,2026-06-25,1,onirico
272,aaa573b153,r_sonhos,2018-04-11,5,ruido_comercial_spam
273,2826cf0811,lucid,2026-09-17,1,onirico
274,f3388c51a1,dreams_recent,2026-09-17,1,onirico
275,78107d0f12,r_sonhos,2017-12-23,5,ruido_comercial_spam
276,3c42f58447,desabafos_sonhei,2026-07-08,2,desejo
277,04fb4324b9,dreams_recent,2026-09-17,1,onirico
278,49cffa972b,dreams_recent,2026-09-17,1,onirico
279,f0bdce385c,dreams_2015,2015-12-27,1,onirico
280,1acb4138bb,dreams_recent,2026-09-17,1,onirico
281,9ab4046f0a,lucid,2026-09-17,4,idiomatico_vazio
282,9b702aaf34,dreams_recent,2026-09-17,3,pesadelo_angustia
283,cfebd035cb,desabafos_sonhei,2026-07-05,3,pesadelo_angustia
284,d5a2c7cbbd,r_sonhos,2018-01-20,5,ruido_comercial_spam
285,9a836708ab,dreams_recent,2026-09-17,5,ruido_comercial_spam
286,aea88ab56f,dreams_recent,2026-09-17,1,onirico
287,e43fcabd64,desabafos_sonhei,2026-08-18,2,desejo
288,3e0f2daf46,dreams_2015,2015-12-29,1,onirico
289,cb8008fd18,desabafos_meusonho,2026-08-31,2,desejo
290,5c166930d1,desabafos_sonhei,2026-07-27,3,pesadelo_angustia
291,377e55b50d,dreams_recent,2026-09-17,1,onirico
292,dfee62dd5c,r_sonhos,2018-09-02,5,ruido_comercial_spam
293,6121a88653,desabafos_sonhei,2026-07-20,3,pesadelo_angustia
294,cc9766516b,r_sonhos,2018-09-02,5,ruido_comercial_spam
295,95a5a27c0d,r_sonhos,2018-01-09,5,ruido_comercial_spam
296,18e906ee1f,desabafos_sonhei,2026-07-15,2,desejo
297,ad1f16e27a,dreams_2015,2015-12-27,1,onirico
298,5eb71582e0,dreams_2015,2015-12-30,1,onirico
299,99bb3f7bec,dreams_recent,2026-09-17,1,onirico
300,f5d0f77456,desabafos_meusonho,2026-09-06,3,pesadelo_angustia
301,0c2f338921,r_sonhos,2018-05-12,5,ruido_comercial_spam
302,37920d47cf,desabafos_sonhei,2026-08-10,1,onirico
303,3ac72bce53,dreams_recent,2026-09-17,4,idiomatico_vazio
304,ebb8984ae9,desabafos_sonhei,2026-08-12,1,onirico
305,704b86f7d4,r_sonhos,2017-12-11,5,ruido_comercial_spam
306,70d901f8c3,dreams_recent,2026-09-17,1,onirico
307,1f40213262,r_sonhos,2017-12-14,5,ruido_comercial_spam
308,7e45cb52b3,dreams_2015,2015-12-27,1,onirico
309,e059353a77,dreams_recent,2026-09-17,3,pesadelo_angustia
310,82d3872ba8,desabafos_sonhei,2026-07-29,3,pesadelo_angustia
311,bec7c96bad,dreams_recent,2026-09-17,1,onirico
312,3469cafc3d,desabafos_meusonho,2026-09-13,2,desejo
313,f9abf92ce3,desabafos_sonhei,2026-06-29,3,pesadelo_angustia
314,6589e73ff6,dreams_recent,2026-09-17,1,onirico
315,1c10003c0d,desabafos_sonhei,2026-09-07,2,desejo
316,d9dd0f0d9d,dreams_2015,2015-12-28,1,onirico
317,4998ac4e2b,dreams_recent,2026-09-17,1,onirico
318,cac1fb450b,dreams_recent,2026-09-17,1,onirico
319,8508f58505,dreams_recent,2026-09-17,7,meta_discussao
320,afd1189cec,desabafos_sonhei,2026-08-29,3,pesadelo_angustia
321,da1f41b3cf,lucid,2026-09-16,1,onirico
322,5122e08067,dreams_2015,2015-12-27,1,onirico
323,670fea4cc8,dreams_recent,2026-09-17,1,onirico
324,4e089f95ae,dreams_2015,2015-12-27,1,onirico
325,051daabef6,r_sonhos,2018-07-30,5,ruido_comercial_spam
326,5eb377d7f2,r_sonhos,2018-02-04,5,ruido_comercial_spam
327,e702626bf9,r_sonhos,2018-01-16,5,ruido_comercial_spam
328,4d91fdb62a,dreams_2015,2015-12-27,1,onirico
329,24429b0aac,desabafos_sonhei,2026-08-12,1,onirico
330,d1350c0edf,lucid,2026-09-16,1,onirico
331,ac8fdd5d93,dreams_2015,2015-12-28,1,onirico
332,df596b0f46,r_sonhos,2017-12-10,5,ruido_comercial_spam
333,cf33e13984,desabafos_sonhei,2026-08-04,3,pesadelo_angustia
334,b909aa57f9,dreams_recent,2026-09-17,1,onirico
335,171c8c7d38,desabafos_meusonho,2026-09-11,2,desejo
336,c5c9de07c4,dreams_2015,2015-12-27,1,onirico
337,8b9d42adfb,r_sonhos,2018-08-29,5,ruido_comercial_spam
338,5dae457555,desabafos_sonhei,2026-07-29,2,desejo
339,167d4219ca,lucid,2026-09-16,7,meta_discussao
340,8a8e996fe9,dreams_2015,2015-12-30,1,onirico
341,f326cf9494,lucid,2026-09-16,7,meta_discussao
342,ac010e3f87,desabafos_meusonho,2026-09-02,2,desejo
343,a5b43cf4b4,desabafos_meusonho,2026-09-10,3,pesadelo_angustia
344,b839c2ccd7,dreams_2015,2015-12-27,1,onirico
345,638f69ada9,dreams_recent,2026-09-17,1,onirico
346,1f2d939720,dreams_2015,2015-12-27,5,ruido_comercial_spam
347,0d934e2070,desabafos_sonhei,2026-09-08,3,pesadelo_angustia
348,3796496207,dreams_2015,2015-12-30,1,onirico
349,a65f19ece6,dreams_2015,2015-12-28,1,onirico
350,07daeb7921,desabafos_sonhei,2026-09-17,1,onirico
351,c4e996e67e,desabafos_meusonho,2026-09-14,3,pesadelo_angustia
352,94fbe5bef1,desabafos_meusonho,2026-09-07,2,desejo
353,33af17a49f,desabafos_sonhei,2026-09-17,2,desejo
354,01ee90ce4e,dreams_recent,2026-09-17,1,onirico
355,613931b064,lucid,2026-09-16,1,onirico
356,73871f282e,lucid,2026-09-16,1,onirico
357,d0b6a85ed8,r_sonhos,2017-12-11,5,ruido_comercial_spam
358,8329fdd0d0,r_sonhos,2018-03-28,5,ruido_comercial_spam
359,ebd04aeff7,r_sonhos,2018-02-04,5,ruido_comercial_spam
360,20699786e9,desabafos_sonhei,2026-08-09,2,desejo
361,12b2c3bdfc,desabafos_sonhei,2026-07-07,3,pesadelo_angustia
362,60c3ca1063,desabafos_meusonho,2026-09-08,3,pesadelo_angustia
363,b644614220,desabafos_sonhei,2026-08-15,3,pesadelo_angustia
364,8486beb210,lucid,2026-09-16,1,onirico
365,d88c3e2fd9,lucid,2026-09-17,7,meta_discussao
366,fa589f628e,dreams_2015,2015-12-29,1,onirico
367,3ec7557703,desabafos_meusonho,2026-09-02,2,desejo
368,77e7ac0a82,dreams_2015,2015-12-28,1,onirico
369,baf0d38669,dreams_2015,2015-12-26,1,onirico
370,e1a074718b,desabafos_meusonho,2026-09-16,2,desejo
371,efdad8e087,r_sonhos,2018-02-04,5,ruido_comercial_spam
372,e26976e642,lucid,2026-09-16,1,onirico
373,8ad2be3471,desabafos_meusonho,2026-09-03,3,pesadelo_angustia
374,706ec4b68d,dreams_2015,2015-12-29,1,onirico
375,ce49748fb1,dreams_2015,2015-12-30,1,onirico
376,78bc9de5ce,r_sonhos,2018-03-28,5,ruido_comercial_spam
377,b70dcb4380,r_sonhos,2018-08-03,5,ruido_comercial_spam
378,5cc365a8e1,dreams_2015,2015-12-30,1,onirico
379,12b483da66,dreams_recent,2026-09-17,3,pesadelo_angustia
380,0ad5d2cf61,desabafos_sonhei,2026-08-21,2,desejo
381,9d7c7fa28b,dreams_2015,2015-12-28,3,pesadelo_angustia
382,64b702a921,dreams_recent,2026-09-17,1,onirico
383,7653e4eb52,dreams_2015,2015-12-29,4,idiomatico_vazio
384,3fbdb4583e,desabafos_sonhei,2026-09-07,2,desejo
385,bee9179208,r_sonhos,2018-01-09,5,ruido_comercial_spam
386,88ef54100a,r_sonhos,2018-02-04,5,ruido_comercial_spam
387,d85f64dec7,lucid,2026-09-17,1,onirico
388,5848f49123,dreams_recent,2026-09-17,5,ruido_comercial_spam
389,7253615e46,dreams_2015,2015-12-26,1,onirico
390,9bd8d7ca56,lucid,2026-09-17,1,onirico
391,52b5f86583,dreams_2015,2015-12-29,1,onirico
392,2fb7d908b3,dreams_2015,2015-12-29,3,pesadelo_angustia
393,0f00840260,desabafos_meusonho,2026-09-14,3,pesadelo_angustia
394,b0ed057b70,r_sonhos,2018-01-09,5,ruido_comercial_spam
395,70f0073283,r_sonhos,2018-01-15,5,ruido_comercial_spam
396,b9ca9d8deb,desabafos_sonhei,2026-09-17,2,desejo
397,6f57238336,lucid,2026-09-16,7,meta_discussao
398,5fca265a7a,dreams_recent,2026-09-17,3,pesadelo_angustia
399,43c9aa735e,dreams_recent,2026-09-17,3,pesadelo_angustia
400,90cd1f42b8,r_sonhos,2018-04-08,5,ruido_comercial_spam
401,e42e9af5c4,r_sonhos,2018-02-06,5,ruido_comercial_spam
402,5baffa7e31,dreams_recent,2026-09-17,3,pesadelo_angustia
403,6325750bc0,dreams_recent,2026-09-17,3,pesadelo_angustia
404,2868566194,lucid,2026-09-16,7,meta_discussao
405,f2c2479b70,r_sonhos,2017-12-11,5,ruido_comercial_spam
406,97edfde0a5,dreams_2015,2015-12-28,1,onirico
407,184cf90c07,r_sonhos,2017-12-30,5,ruido_comercial_spam
408,e9145d9564,dreams_2015,2015-12-28,1,onirico
409,cea9b6edb0,r_sonhos,2017-12-26,5,ruido_comercial_spam
410,f21c80758c,desabafos_sonhei,2026-08-28,2,desejo
411,7e48ffb112,dreams_recent,2026-09-17,1,onirico
412,112c3e4f1c,dreams_recent,2026-09-17,3,pesadelo_angustia
413,edf8b507c0,desabafos_meusonho,2026-09-09,2,desejo
414,a545aebd79,lucid,2026-09-17,1,onirico
415,75ba121d6a,dreams_recent,2026-09-17,3,pesadelo_angustia
416,2d8d2e851d,lucid,2026-09-17,1,onirico
417,95306e322b,desabafos_sonhei,2026-07-06,2,desejo
418,e83a4d9b46,r_sonhos,2018-02-11,5,ruido_comercial_spam
419,86add0fe8e,desabafos_sonhei,2026-09-02,3,pesadelo_angustia
